modelo,frame_evento,resumo_gerado,latencia_total_s,tempo_processamento_prompt_ms,tempo_geracao_ms,total_tokens_gerados,throughput_tps
qwen2.5:0.5b,5667.0,O diagnóstico indica que a velocidade do veículo está aumentando rapidamente e a velocidade diminuindo gradualmente. A recomendação é reduzir a velocidade e monitorar os sensores de aceleração para melhorar a segurança e eficiência.,0.42843151092529297,103652000.0,316813000.0,59,186.2297317344932
qwen2.5:0.5b,5763.0,"O diagnóstico indica que a aceleração e a direção estão mudando rapidamente, indicando instabilidade. A recomendação é reduzir a velocidade e estabilizar a direção imediatamente.",0.28009653091430664,5683000.0,261807000.0,49,187.16077110237694
qwen2.5:0.5b,5783.0,O diagnóstico indica que a veículo está se movendo muito rápido e não está se movendo de forma segura. A recomendação é reduzir a aceleração e estabilizar a direção imediatamente.,0.28534626960754395,5783000.0,267154999.0,50,187.15726895306943
qwen2.5:0.5b,6052.0,"O diagnóstico indica que o veículo está se acelerando muito rapidamente e se desviando de forma abrupta, sugerindo que o sistema de frenagem e os sensores de aceleração estão funcionando mal. A recomendação é verificar o sistema de frenagem e calibrar os sensores de aceleração para melhorar a segurança do veículo.",0.4900968074798584,45076000.0,432776000.0,80,184.8531341848901
qwen2.5:0.5b,6625.0,"O diagnóstico indica que o veículo está com aceleração negativa excessiva e desaceleração abrupta, sugerindo que o sistema de frenagem e o sensores de aceleração devem ser revisados.",0.3157825469970703,44876000.0,260999000.0,49,187.74018291257823
qwen2.5:0.5b,5667.0,"O diagnóstico indica que o veículo está se acelerando exageradamente e se desacelerando abruptamente, o que pode ser causado por problemas de estabilidade ou aceleração excessiva. A recomendação é reduzir a velocidade e monitorar a estabilidade do veículo para evitar danos.",0.38126182556152344,5656000.0,363349000.0,68,187.14789362293553
qwen2.5:0.5b,5763.0,O veículo está se acelerando exageradamente e apresenta comportamento errático. A recomendação é reduzir a aceleração e estabilizar a direção.,0.22722911834716797,5682000.0,209609000.0,39,186.06071304190183
qwen2.5:0.5b,5783.0,O diagnóstico indica que a veículo está se movendo muito rápido e se movimentando de forma instável. A recomendação é reduzir a aceleração e estabilizar a direção imediatamente.,0.27949976921081543,5700000.0,262319000.0,49,186.79546658839044
qwen2.5:0.5b,6052.0,O diagnóstico indica que a velocidade está aumentando muito e pode haver perda de controle. A recomendação é reduzir a velocidade e aplicar controle de estabilidade.,0.2649850845336914,26269000.0,225843000.0,42,185.96989944341865
qwen2.5:0.5b,6625.0,O diagnóstico indica que a velocidade está aumentando exageradamente e pode haver perda de controle. A recomendação é reduzir a velocidade e estabilizar a direção.,0.2691788673400879,26167000.0,235838000.0,44,186.56874634282855
qwen2.5:0.5b,6670.0,O veículo está se acelerando exageradamente e apresenta comportamento errático. A recomendação é reduzir a aceleração e estabilizar a direção.,0.2244434356689453,5731000.0,206860000.0,39,188.5333075510007
qwen2.5:0.5b,6853.0,"O diagnóstico indica que o veículo está se acelerando exageradamente e se desviando abruptamente, o que pode ser causado por fatores como a fuga de controle ou a falta de estabilidade. A recomendação é reduzir a velocidade e monitorar a estabilidade do veículo para evitar danos.",0.40528249740600586,5601000.0,387924000.0,72,185.60336560769636
qwen2.5:0.5b,6878.0,O diagnóstico indica que a velocidade do veículo está aumentando rapidamente e o controle de direção está se desequilibrando. A recomendação é reduzir a aceleração e estabilizar o controle de direção para melhorar a segurança e a eficiência do veículo.,0.3661839962005615,5664000.0,348580000.0,65,186.4708244879224
qwen2.5:0.5b,6898.0,"O veículo está se acelerando exageradamente e apresenta comportamento instável, necessitando de redução da aceleração e estabilização da direção.",0.21211576461791992,5604000.0,194718000.0,37,190.0183855627112
qwen2.5:0.5b,5667.0,"O diagnóstico indica que o veículo está se acelerando exageradamente e se desacelerando abruptamente, sugerindo que a velocidade deve ser reduzida e que a estabilidade do veículo deve ser monitorada.",0.2810368537902832,5748000.0,263043000.0,49,186.28133042886523
qwen2.5:0.5b,5763.0,"O veículo está se movendo muito rápido e se movimentando de maneira errática, o que pode ser prejudicial para a segurança e a eficiência do veículo. Para melhorar o desempenho, a recomendação é reduzir a aceleração e estabilizar a direção.",0.3710925579071045,5720000.0,353095000.0,66,186.91853467197214
qwen2.5:0.5b,5783.0,O diagnóstico indica que o veículo está se movendo muito rápido e se movendo de forma instável. A recomendação é reduzir a aceleração e estabilizar a direção imediatamente.,0.27639269828796387,5594000.0,258692000.0,48,185.54883800040204
qwen2.5:0.5b,6052.0,O diagnóstico indica que a velocidade está aumentando muito e pode haver perda de controle. A recomendação é reduzir a velocidade e aplicar controle de estabilidade.,0.2600843906402588,26230000.0,222570000.0,42,188.70467718021297
qwen2.5:0.5b,6625.0,O diagnóstico indica que a velocidade está aumentando exageradamente e pode haver perda de controle. A recomendação é reduzir a velocidade e estabilizar a direção.,0.2696497440338135,26257000.0,235806000.0,44,186.59406461243566
qwen2.5:0.5b,6670.0,"O veículo está se acelerando exageradamente e apresenta comportamento errático, necessitando de redução da aceleração e estabilização da direção.",0.21419143676757812,5729000.0,195279000.0,37,189.47249832291234
qwen2.5:1.5b,5667.0,"Diagnóstico: Aceleração excessiva e desaceleração abrupta identificados.

Ação Recomendada: Reduzir a velocidade e monitorar os sensores de aceleração.",0.7192809581756592,223558000.0,488396000.0,46,94.18586556810457
qwen2.5:1.5b,5763.0,"Diagnóstico: Instabilidade detectada.

Ação Recomendada: Reduzir velocidade e estabilizar direção.",0.33968138694763184,11267000.0,314273000.0,30,95.45840718101778
qwen2.5:1.5b,5783.0,Diagnóstico: Aceleração excessiva e instabilidade de direção detectadas. Ação recomendada: Reduzir a aceleração e estabilizar a direção imediatamente.,0.49275970458984375,11024000.0,468371000.0,44,93.94262240830453
qwen2.5:1.5b,6052.0,"Diagnóstico: Aceleração negativa e frenagem abrupta detectadas.

Ação Recomendada: Verificar e calibrar sistemas de frenagem e sensores de aceleração.",0.6111814975738525,118766000.0,478549000.0,45,94.03425772491427
qwen2.5:1.5b,6625.0,"Diagnóstico: Aceleração negativa e desaceleração abrupta detectadas.

Ação Recomendada: Verificar e calibrar sistema de frenagem e sensores de aceleração.",0.631976842880249,120662000.0,500834000.0,47,93.84346909355196
qwen2.5:1.5b,5667.0,"Diagnóstico: Aceleração excessiva e desaceleração abrupta identificados.
Ação Recomendada: Reduzir a velocidade e monitorar a estabilidade do veículo.",0.4838411808013916,10826000.0,459265000.0,43,93.62786190979065
qwen2.5:1.5b,5763.0,"Diagnóstico: Aceleração excessiva e comportamento errático detectados.

Ação Recomendada: Reduzir a aceleração e estabilizar a direção.",0.4599778652191162,10794000.0,434426000.0,41,94.37740835032895
qwen2.5:1.5b,5783.0,Diagnóstico: Aceleração excessiva e comportamento instável detectado. Ação recomendada: Reduzir a aceleração e estabilizar a direção imediatamente.,0.4844393730163574,10996000.0,458591000.0,43,93.76546857657476
qwen2.5:1.5b,6052.0,"Diagnóstico: Aceleração negativa detectada, potencial perigo de perda de controle.

Ação Recomendada: Reduzir velocidade e aplicar controle de estabilidade.",0.6238229274749756,66953000.0,543818000.0,44,80.90942190218051
qwen2.5:1.5b,6625.0,"Diagnóstico: Aceleração negativa detectada, potencial perigo de perda de controle.

Ação Recomendada: Reduzir velocidade e estabilizar direção.",0.7620058059692383,85799000.0,668790000.0,43,64.29521972517531
qwen2.5:1.5b,6670.0,"Diagnóstico: Aceleração excessiva e comportamento errático identificados.

Ação Recomendada: Reduzir a aceleração e estabilizar a direção.",0.6611526012420654,15419000.0,631699000.0,41,64.90432943537982
qwen2.5:1.5b,6853.0,"Diagnóstico: Aceleração excessiva e frenagem abrupta identificados.

Ação Recomendada: Reduzir a velocidade e monitorar a estabilidade do veículo.",0.7753946781158447,134891000.0,629839000.0,41,65.09600072399454
qwen2.5:1.5b,6878.0,Diagnóstico: Aceleração excessiva e instabilidade detectadas. Ação recomendada: Reduzir a aceleração e estabilizar o controle de direção.,0.7418844699859619,116911000.0,610858000.0,39,63.844625101087324
qwen2.5:1.5b,6898.0,"Diagnóstico: Aceleração excessiva e instabilidade de direção detectadas.

Ação Recomendada: Reduzir aceleração e estabilizar direção.",0.7421548366546631,117766000.0,613420000.0,40,65.20817710540902
